UCP
1361,6919439995
1462,4483209583
1533,9821968285
1670,4157945946
1771,9362915345
1837,9549830099
1876,8826429409
1923,7479215369
1939,4727604332
1957,3966268908

cocomo
400.1841773111,10
436.79121087384,20
442.8052169988,30
423.30872057859,40
432.43842177811,50
441.05512254469,60
454.84303102597,70
458.88046586356,80
466.81433744072,90
444.56336095126,100
107.28571420751,10

Agile
11.751382782289,10
7.2394744444029,20
6.5313281959261,30
7.0601467775941,40
6.8382207087496,50
7.078809917173,60
7.0625744458787,70
6.5996700230658,80
6.5991583087439,90
6.997628508047,100
